"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","1837"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","17.4","294"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.4","41"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.4","24"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.7","28"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.7","29"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","143"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","75.4","1278"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","5530"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","45.7","2344"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","5.7","290"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","0.9","44"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","2.4","121"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","6.6","339"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","401"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","38.8","1991"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","29063"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","36.3","9609"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4.2","1118"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","2.7","721"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","3","788"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4.2","1112"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","2618"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","49.5","13097"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","1049"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","45.7","439"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","6.5","62"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","0.8","8"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","2.2","21"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","7.7","74"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","89"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","37.1","356"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","1055113"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","All grades","All grades","All","5.6","56679"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","All grades","All grades","All","5.3","53641"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","All grades","All grades","All","0.4","3839"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","All grades","All grades","All","1.1","10903"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","All grades","All grades","All","1.6","16660"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","43441"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","All grades","All grades","All","86","869950"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","41179"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","6.6","2564"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","5.3","2043"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","0.2","92"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","1.1","444"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","1.8","709"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","2399"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","84.9","32928"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","173704"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","4.7","7818"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","4.7","7804"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","0.2","288"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.1","1785"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.4","2368"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","7970"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","87.9","145671"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","141781"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","4","5402"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","4.9","6735"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","0.2","232"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1","1418"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1","1379"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","5705"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","88.9","120910"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","92933"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","4","3604"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","3.6","3212"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.2","189"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1","916"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.7","617"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","3345"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","90.5","81050"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","237454"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","9","20484"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","7.7","17553"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","0.4","950"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","1.3","2874"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","2.8","6314"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","10284"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","78.8","178995"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","179579"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","5.4","9349"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","5.7","9847"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","0.6","983"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","1","1759"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","2","3371"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","7200"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","85.3","147070"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","112094"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","4.1","4395"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","4.1","4466"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","0.7","723"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","0.9","988"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.1","1202"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","3705"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","89.1","96615"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","36227"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","4.2","1469"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","3","1045"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.5","189"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1","352"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.9","303"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","1092"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","90.4","31777"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","16707"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","3.7","597"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","2.2","358"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.5","82"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.9","151"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.7","112"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","502"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","92","14905"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","8678"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","2.6","221"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1.9","162"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.5","39"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1","82"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.6","54"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","280"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","93.4","7840"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","NA","4723"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","2.8","127"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","1.5","70"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","0.3","15"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","0.8","35"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","0.6","25"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","NA","203"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","94","4248"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","NA","1154"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","2.4","27"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","1.1","12"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","0.3","3"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","1.4","16"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","0.5","6"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","NA","25"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Senior Roles","Band 9","Graduate","94.3","1065"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","NA","16808"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","5.9","933"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","4.2","668"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","0.5","81"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","0.9","146"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","1.6","258"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","NA","1056"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Other grades","Non AfC Grade","Unspecified","86.8","13666"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","All","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","NA","1860"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Asian","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","2.2","38"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Black","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0.8","14"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Chinese","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0.1","2"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Mixed","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0.5","9"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Other","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","0.2","4"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","Unknown","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","NA","98"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2011","White","ONS 6+1","Non-medical staff","Very Senior Manager","Very Senior Manager","Graduate","96.2","1695"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","All","ONS 6+1","All staff groups","All grades","All grades","All","NA","1168750"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Asian","ONS 6+1","All staff groups","All grades","All grades","All","7.4","82723"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Black","ONS 6+1","All staff groups","All grades","All grades","All","5.1","56500"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Chinese","ONS 6+1","All staff groups","All grades","All grades","All","0.5","5988"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Mixed","ONS 6+1","All staff groups","All grades","All grades","All","1.2","12939"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Other","ONS 6+1","All staff groups","All grades","All grades","All","1.8","20280"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Unknown","ONS 6+1","All staff groups","All grades","All grades","All","NA","56318"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","White","ONS 6+1","All staff groups","All grades","All grades","All","84","934002"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","All","ONS 6+1","Medical staff","All grades","All grades","All","NA","102422"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Asian","ONS 6+1","Medical staff","All grades","All grades","All","29.1","27499"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Black","ONS 6+1","Medical staff","All grades","All grades","All","3.7","3477"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Chinese","ONS 6+1","Medical staff","All grades","All grades","All","2.1","2010"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Mixed","ONS 6+1","Medical staff","All grades","All grades","All","2.4","2231"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Other","ONS 6+1","Medical staff","All grades","All grades","All","4.1","3850"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Unknown","ONS 6+1","Medical staff","All grades","All grades","All","NA","8042"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","White","ONS 6+1","Medical staff","All grades","All grades","All","58.6","55313"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","All","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","3707"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Asian","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","39.4","1360"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Black","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","4.8","166"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Chinese","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","0.6","22"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Mixed","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","2.1","72"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Other","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","8.5","295"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Unknown","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","251"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","White","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","44.6","1541"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","All","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","37836"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Asian","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","21","7526"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Black","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.8","1008"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Chinese","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","1.7","600"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Mixed","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","1.6","568"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Other","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","3.5","1260"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","Unknown","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","2063"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2010","White","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","69.4","24811"
